Model,Precision,Recall,F-Measure,Accuracy
BtLLDA,0.258803477475,0.701149190765,0.378059597671,0.654322895912
BtLLDA-pca,0.0,0.0,0.0,0.0
BtLLDA-pcaW,0.0,0.0,0.0,0.0
BtLLDA-scale,0.271693253887,0.741379062366,0.397656687994,0.663451380641
BtLLDA-scale-pca,0.265748764039,0.732183663143,0.389959687149,0.656734193765
BtLLDA-scale-pcaW,0.266694577096,0.729884813337,0.390648508622,0.658801020496
BtLLDA-down,0.255012943974,0.846743011798,0.39058548787,0.601216931297
BtLLDA-down-pca,0.279690956048,0.806896147349,0.415376655374,0.659662088357
BtLLDA-down-pcaW,0.269194350263,0.729501671703,0.393240831087,0.662819850251
BtLLDA-scale-down,0.265724879085,0.830267921523,0.401579598689,0.628832032897
BtLLDA-scale-down-pca,0.278857481512,0.806896281831,0.414469242718,0.658399137521
BtLLDA-scale-down-pcaW,0.269895040957,0.754022736298,0.397068629867,0.657825018984
BtLQDA,0.290588785751,0.606896348728,0.393002780274,0.719083466816
BtLQDA-pca,0.0,0.0,0.0,0.0
BtLQDA-pcaW,0.0,0.0,0.0,0.0
BtLQDA-scale,0.290588785751,0.606896348728,0.393002780274,0.719083466816
BtLQDA-scale-pca,0.289972802914,0.614942323048,0.39410624682,0.716672168963
BtLQDA-scale-pcaW,0.291278015748,0.610344623436,0.394355167968,0.719083466816
BtLQDA-down,0.265719382603,0.685823525393,0.382707976219,0.668733271175
BtLQDA-down-pca,0.0,0.0,0.0,0.0
BtLQDA-down-pcaW,0.269620591433,0.663218058433,0.383382531196,0.680330352222
BtLQDA-scale-down,0.269359157165,0.705363748742,0.389779032234,0.669192566005
BtLQDA-scale-down-pca,0.278127412811,0.718007422674,0.400852134423,0.678550698148
BtLQDA-scale-down-pcaW,0.271819950612,0.702681757302,0.391889521201,0.673211395759
BtLLogReg,0.285833936455,0.783907783773,0.418918387415,0.674129985417
BtLLogReg-pca,0.0,0.0,0.0,0.0
BtLLogReg-pcaW,0.0,0.0,0.0,0.0
BtLLogReg-scale,0.276708872038,0.777011234356,0.408088821445,0.662245731714
BtLLogReg-scale-pca,0.276708872038,0.777011234356,0.408088821445,0.662245731714
BtLLogReg-scale-pcaW,0.275301865636,0.759769860813,0.404157224494,0.664312558445
BtLLogReg-down,0.279419576392,0.752107028127,0.407415089618,0.672235394247
BtLLogReg-down-pca,0.279627188325,0.724137568133,0.403455847657,0.679124703497
